original_filename,status,curated_path,description,size_bytes
Screenshot 2026-07-23 161510.png,Curated,08-dashboards-screenshots/grafana/06-grafana-cpu-dashboard.png,Node Exporter Full CPU panels and test spike.,133543
Screenshot 2026-07-23 161539.png,Curated,08-dashboards-screenshots/grafana/07-grafana-memory-dashboard.png,Memory panels.,93885
Screenshot 2026-07-23 161557.png,Curated,08-dashboards-screenshots/grafana/08-grafana-network-dashboard.png,Network traffic panels.,135131
Screenshot 2026-07-23 161608.png,Curated,08-dashboards-screenshots/grafana/09-grafana-disk-io-dashboard.png,Disk I/O panels.,42661
Screenshot 2026-07-23 161615.png,Curated,08-dashboards-screenshots/grafana/10-grafana-filesystem-dashboard.png,Filesystem panels.,74083
Screenshot 2026-07-23 161623.png,Curated,08-dashboards-screenshots/grafana/11-grafana-disk-utilization-dashboard.png,Disk utilization panels.,62318
Screenshot 2026-07-23 161632.png,Curated,08-dashboards-screenshots/grafana/12-grafana-pressure-dashboard.png,Pressure stall information panels.,81113
Screenshot 2026-07-23 161856.png,Curated,08-dashboards-screenshots/prometheus/17-alert-rules-returned-to-normal.png,Alert rules in normal state after stress ended.,35569
Screenshot 2026-07-23 171420.png,Curated,08-dashboards-screenshots/pfsense/19-socadmin-firewall-rules-final.png,Final SOC_ADMIN rules including SSH and monitoring access.,70253
Screenshot 2026-07-23 171429.png,Curated,08-dashboards-screenshots/pfsense/20-dmz-firewall-rules-final.png,Final DMZ rules.,48718
Screenshot 2026-07-23 171439.png,Curated,08-dashboards-screenshots/pfsense/21-user-firewall-rules-final.png,Final USER rules before final access validation.,102418
Screenshot 2026-07-23 172802.png,Curated,08-dashboards-screenshots/pfsense/22-socadmin-to-grafana-passed.png,SOC_ADMIN to Grafana TCP/3000 succeeded.,11990
Screenshot 2026-07-23 173017.png,Curated,08-dashboards-screenshots/pfsense/23-socadmin-to-prometheus-passed.png,SOC_ADMIN to Prometheus TCP/9090 succeeded.,12468
Screenshot 2026-07-23 201156.png,Curated,08-dashboards-screenshots/pfsense/24-user-to-grafana-blocked.png,USER_NET to Grafana TCP/3000 failed.,19320
Screenshot 2026-07-23 201203.png,Curated,08-dashboards-screenshots/pfsense/25-user-to-prometheus-blocked.png,USER_NET to Prometheus TCP/9090 failed.,20260
Screenshot 2026-07-23 202322.png,Curated,08-dashboards-screenshots/pfsense/27-pfsense-monitoring-access-logs.png,Firewall log evidence around monitoring access tests.,112750
Screenshot 2026-07-23 202338.png,Curated,08-dashboards-screenshots/pfsense/26-user-firewall-rules-final.png,Final USER rules after monitoring restrictions.,89945
Screenshot 2026-07-23 202359.png,Curated,08-dashboards-screenshots/pfsense/28-pfsense-final-firewall-logs.png,Final pfSense firewall log view.,149171
